source,speaker,token,syllable,vowel,onset,offset,srate,TM_ms,TD_ms,TM,TD,DeltaHeightMax,LaLagTM,LaLagTD
2015_06_12_19_F_03_1_007_sync,F03,al.b,coda,ae,23.24668767,23.55991395,100,2330,2339,23,23,31,-77,-76
2015_06_12_19_F_03_1_007_sync,F03,tal.b,coda,ae,25.7745626,26.02500861,100,2585,2589,26,26,23,29,29
2015_06_12_19_F_03_1_007_sync,F03,kil.b,coda,ih,28.07873296,28.35145584,100,2824,2822,28,28,28,2,2
2015_06_12_19_F_03_1_007_sync,F03,tab.l,onset,ae,30.39037645,30.63609706,100,3053,3049,31,30,16,145,145
2015_06_12_19_F_03_1_007_sync,F03,cal.b,coda,ae,32.82247618,33.08237298,100,3288,3295,33,33,20,129,130
2015_06_12_19_F_03_1_007_sync,F03,cab.l,onset,ae,35.18274419,35.42941471,100,3529,3531,35,35,16,193,193
2015_06_12_19_F_03_1_008_sync,F03,tab.l,onset,ae,10.73078739,10.98557836,100,1089,1083,11,11,17,-61,-62
2015_06_12_19_F_03_1_008_sync,F03,tal.b,coda,ae,17.68645572,17.94200644,100,1775,1778,18,18,26,-83,-82
2015_06_12_19_F_03_1_008_sync,F03,til.b,coda,ih,19.9910966,20.24664732,100,2013,2009,20,20,32,-119,-119
2015_06_12_19_F_03_1_008_sync,F03,il.b,coda,ih,22.41004182,22.7112529,100,2254,2253,23,23,17,55,55
2015_06_12_19_F_03_1_008_sync,F03,kil.b,coda,ih,27.28058469,27.52361564,100,2743,2740,27,27,28,-6,-6
2015_06_12_19_F_03_1_008_sync,F03,tib.l,onset,ih,29.68667534,29.92307817,100,2986,2980,30,30,14,159,158
2015_06_12_19_F_03_1_008_sync,F03, cab.l,onset,ae,35.8064276,36.05375468,100,3599,3593,36,36,14,220,219
2015_06_12_19_F_03_1_008_sync,F03,cal.b,coda,ae,38.36349717,38.61664341,100,3845,3849,38,38,15,235,235
2015_06_12_19_F_03_1_008_sync,F03,al.b,coda,ae,40.69163789,40.97853696,100,4076,4083,41,41,21,198,198
2015_06_12_19_F_03_1_008_sync,F03,kib.l,onset,ih,43.25318156,43.48691785,100,4344,4341,43,43,16,274,274
2015_06_12_19_F_03_1_009_sync,F03,al.b,coda,ae,1.870274604,2.151098164,100,193,197,2,2,23,-211,-210
2015_06_12_19_F_03_1_009_sync,F03,tal.b,coda,ae,4.436588955,4.677584174,100,448,453,4,5,23,-185,-185
2015_06_12_19_F_03_1_009_sync,F03,kib.l,onset,ih,6.807210928,7.050231317,100,696,692,7,7,16,-90,-91
2015_06_12_19_F_03_1_009_sync,F03,cal.b,coda,ae,9.156195774,9.418455277,100,921,927,9,9,17,-78,-77
2015_06_12_19_F_03_1_009_sync,F03,cab.l,onset,ae,11.78060358,12.05197635,100,1199,1200,12,12,23,-110,-110
2015_06_12_19_F_03_1_009_sync,F03,tab.l,onset,ae,16.41781792,16.67197675,100,1659,1651,17,17,18,-14,-15
2015_06_12_19_F_03_1_009_sync,F03,til.b,coda,ih,21.09287191,21.33184196,100,2125,2121,21,21,26,-48,-48
2015_06_12_19_F_03_1_009_sync,F03,il.b,coda,ih,23.40831698,23.66247581,100,2357,2353,24,24,15,86,85
2015_06_12_19_F_03_1_009_sync,F03,tib.l,onset,ih,30.28266951,30.50847596,100,3046,3042,30,30,15,155,154
2015_06_12_19_F_03_1_009_sync,F03,kil.b,coda,ih,34.84912266,35.09062417,100,3500,3497,35,35,18,170,170
2015_06_12_19_F_03_1_010_sync,F03,tab.l,onset,ae,1.746401711,1.9894221,100,189,179,2,2,14,-121,-122
2015_06_12_19_F_03_1_010_sync,F03,cab.l,onset,ae,4.23588103,4.511979194,100,445,443,4,4,22,-176,-176
2015_06_12_19_F_03_1_010_sync,F03,tal.b,coda,ae,6.61022187,6.855942486,100,668,673,7,7,18,-113,-113
2015_06_12_19_F_03_1_010_sync,F03,cal.b,coda,ae,9.023419945,9.252264144,100,907,911,9,9,23,-139,-139
2015_06_12_19_F_03_1_010_sync,F03,al.b,coda,ae,11.2894555,11.59525616,100,1136,1143,11,11,34,-226,-226
2015_06_12_19_F_03_1_010_sync,F03,tib.l,onset,ih,23.48201233,23.70410597,100,2364,2358,24,24,13,106,106
2015_06_12_19_F_03_1_010_sync,F03,kib.l,onset,ih,26.06431794,26.28506146,100,2623,2619,26,26,14,122,122
2015_06_12_19_F_03_1_010_sync,F03,til.b,coda,ih,28.51818506,28.73420319,100,2868,2861,29,29,22,67,66
2015_06_12_19_F_03_1_010_sync,F03,kil.b,coda,ih,30.91248141,31.16022719,100,3105,3104,31,31,24,71,70
2015_06_16_21_F_04_1_001_sync,F04,tal.b,coda,ae,11.68711089,11.94430746,100,1179,1185,12,12,18,-62,-62
2015_06_16_21_F_04_1_001_sync,F04,cal.b,coda,ae,14.03026852,14.30096623,100,1414,1418,14,14,19,-49,-48
2015_06_16_21_F_04_1_001_sync,F04,til.b,coda,ih,20.56255672,20.78397529,100,2067,2068,21,21,8,127,127
2015_06_16_21_F_04_1_001_sync,F04,tib.l,onset,ih,22.86512833,23.07709612,100,2303,2302,23,23,18,50,50
2015_06_16_21_F_04_1_001_sync,F04,al.b,coda,ae,25.07985954,25.36743367,100,2521,2525,25,25,16,92,93
2015_06_16_21_F_04_1_001_sync,F04,cab.l,onset,ae,27.38732222,27.69649816,100,2762,2763,28,28,28,-4,-4
2015_06_16_21_F_04_1_001_sync,F04,tab.l,onset,ae,29.76144982,30.03754798,100,2998,2997,30,30,28,20,20
2015_06_16_21_F_04_1_001_sync,F04,til.b,coda,ih,36.66257983,36.88264829,100,3678,3676,37,37,6,308,308
2015_06_16_21_F_04_1_002_sync,F04,il.b,coda,ih,7.756273615,8.026296269,100,793,790,8,8,21,-131,-131
2015_06_16_21_F_04_1_002_sync,F04,tab.l,onset,ae,9.886368385,10.15099059,100,1007,1006,10,10,21,-109,-109
2015_06_16_21_F_04_1_002_sync,F04,tib.l,onset,ih,14.31949021,14.55373486,100,1447,1444,14,14,18,-35,-36
2015_06_16_21_F_04_1_002_sync,F04,cal.b,coda,ae,24.80658156,25.06040285,100,2492,2494,25,25,17,79,79
2015_06_16_21_F_04_1_002_sync,F04,til.b,coda,ih,29.0601859,29.29645572,100,2919,2918,29,29,26,32,32
2015_06_16_21_F_04_1_002_sync,F04,tal.b,coda,ae,31.14023744,31.37920749,100,3128,3131,31,31,17,143,143
2015_06_16_21_F_04_1_002_sync,F04,tib.l,onset,ih,40.22537751,40.47784869,100,4041,4039,40,40,18,224,224
2015_06_16_21_F_04_1_003_sync,F04,til.b,coda,ih,2.87072662,3.084044517,100,298,295,3,3,14,-110,-111
2015_06_16_21_F_04_1_003_sync,F04,cal.b,coda,ae,12.81898648,13.09981004,100,1296,1302,13,13,25,-120,-120
2015_06_16_21_F_04_1_003_sync,F04,tib.l,onset,ih,16.81184124,17.07511332,100,1697,1693,17,17,28,-110,-111
2015_06_16_21_F_04_1_003_sync,F04,til.b,coda,ih,24.7109777,24.90134367,100,2484,2483,25,25,11,138,138
2015_06_16_21_F_04_1_003_sync,F04,tal.b,coda,ae,31.02538862,31.25220765,100,3116,3116,31,31,18,132,132
2015_06_16_21_F_04_1_003_sync,F04,al.b,coda,ae,32.98738812,33.27901258,100,3316,3316,33,33,27,62,62
2015_06_16_21_F_04_1_003_sync,F04,tib.l,onset,ih,37.10504545,37.39666991,100,3731,3726,37,37,5,323,323
