source,speaker,token,syllable,vowel,onset,offset,TT,TM,TD,delTM,delTD
2015_06_16_21_F_04_1_005_sync,F04,tal.b,coda,ae,11.19607876,11.46205108,1140,1130,1136,100,40
2015_06_16_21_F_04_1_005_sync,F04,tab.l,onset,ae,15.13670593,15.40132813,1532,1533,1534,-10,-20
2015_06_16_21_F_04_1_005_sync,F04,cab.l,onset,ae,19.06420458,19.3160007,1929,1930,1928,-10,10
2015_06_16_21_F_04_1_005_sync,F04,tib.l,onset,ih,21.07438784,21.30255698,2125,2124,2122,10,30
2015_06_16_21_F_04_1_005_sync,F04,til.b,coda,ih,27.44685402,27.66574416,2759,2757,2756,20,30
2015_06_16_21_F_04_1_005_sync,F04,tib.l,onset,ih,35.66141406,35.89835894,3575,3585,3577,-100,-20
2015_06_16_21_F_04_1_005_sync,F04,al.b,coda,ae,37.45304459,37.73116792,3772,3762,3763,100,90
2015_06_16_21_F_04_1_006_sync,F04,til.b,coda,ih,2.595992791,2.801210009,271,269,268,20,30
2015_06_16_21_F_04_1_006_sync,F04,il.b,coda,ih,6.508338268,6.782411263,666,663,662,30,40
2015_06_16_21_F_04_1_006_sync,F04,tib.l,onset,ih,8.422491854,8.625008845,848,857,852,-90,-40
2015_06_16_21_F_04_1_006_sync,F04,cab.l,onset,ae,10.44458367,10.70110519,1058,1060,1064,-20,-60
2015_06_16_21_F_04_1_006_sync,F04,cab.l,onset,ae,11.07478709,11.32803693,1131,1127,1126,40,50
2015_06_16_21_F_04_1_006_sync,F04,al.b,coda,ae,12.92772706,13.17884813,1313,1302,1307,110,60
2015_06_16_21_F_04_1_006_sync,F04,kil.b,coda,ih,14.93023017,15.13004693,1511,1504,1504,70,70
2015_06_16_21_F_04_1_006_sync,F04,tab.l,onset,ae,24.55602093,24.81659279,2476,2475,2474,10,20
2015_06_16_21_F_04_1_006_sync,F04,kib.l,onset,ih,34.57528703,34.76970334,3474,3474,3473,0,10
2015_06_16_21_F_04_1_006_sync,F04,cal.b,coda,ae,36.58167471,36.86384838,3684,3673,3678,110,60
2015_06_16_21_F_04_1_007_sync,F04,tab.l,onset,ae,4.340852367,4.605474568,446,445,448,10,-20
2015_06_16_21_F_04_1_007_sync,F04,kib.l,onset,ih,8.103169112,8.30028565,816,818,818,-20,-20
2015_06_16_21_F_04_1_007_sync,F04,cal.b,coda,ae,13.80435067,14.06081518,1401,1382,1388,190,130
2015_06_16_21_F_04_1_007_sync,F04,kil.b,coda,ih,15.56839754,15.80331725,1573,1562,1562,110,110
2015_06_16_21_F_04_1_007_sync,F04,cab.l,onset,ae,17.80996536,18.09078892,1795,1797,1795,-20,0
2015_06_16_21_F_04_1_007_sync,F04,tal.b,coda,ae,23.42956488,23.66178436,2358,2347,2352,110,60
2015_06_16_21_F_04_1_007_sync,F04,al.b,coda,ae,25.42641875,25.71804322,2565,2550,2555,150,100
2015_06_16_21_F_04_1_007_sync,F04,il.b,coda,ih,33.0094094,33.23420326,3313,3308,3308,50,50
2015_06_16_21_F_04_1_007_sync,F04,tib.l,onset,ih,35.03874868,35.26016726,3510,3514,3510,-40,0
2015_06_16_21_F_04_1_008_sync,F04,cal.b,coda,ae,4.096564701,4.354436336,428,418,422,100,60
2015_06_16_21_F_04_1_008_sync,F04,il.b,coda,ih,7.920062918,8.18468512,807,806,807,10,0
2015_06_16_21_F_04_1_008_sync,F04,al.b,coda,ae,9.875903909,10.15672747,1010,1007,1006,30,40
2015_06_16_21_F_04_1_008_sync,F04,tal.b,coda,ae,11.87587203,12.15129514,1209,1201,1202,80,70
2015_06_16_21_F_04_1_008_sync,F04,kib.l,onset,ih,15.9245077,16.15942741,1607,1609,1609,-20,-20
2015_06_16_21_F_04_1_008_sync,F04,tib.l,onset,ih,17.89747372,18.13509366,1806,1806,1813,0,-70
2015_06_16_21_F_04_1_008_sync,F04,cab.l,onset,ae,22.24145241,22.51687552,2245,2247,2247,-20,-20
2015_06_16_21_F_04_1_008_sync,F04,cab.l,onset,ae,32.44475873,32.70398048,3265,3265,3271,0,-60
2015_06_16_21_F_04_1_009_sync,F04,tal.b,coda,ae,2.955316098,3.213187733,309,307,309,20,0
2015_06_16_21_F_04_1_009_sync,F04,tab.l,onset,ae,14.70765416,14.94122376,1488,1488,1490,0,-20
2015_06_16_21_F_04_1_009_sync,F04,tib.l,onset,ih,16.57801175,16.80888112,1672,1675,1669,-30,30
2015_06_16_21_F_04_1_009_sync,F04,cal.b,coda,ae,24.35774667,24.57916525,2451,2444,2451,70,0
2015_06_16_21_F_04_1_009_sync,F04,cab.l,onset,ae,26.35198328,26.6490082,2659,2660,2660,-10,-10
2015_06_16_21_F_04_1_009_sync,F04,il.b,coda,ih,28.26073633,28.51590773,2842,2840,2839,20,30
2015_06_16_21_F_04_1_009_sync,F04,til.b,coda,ih,34.14150047,34.33861701,3429,3428,3426,10,30
2015_06_16_21_F_04_1_009_sync,F04,al.b,coda,ae,36.08742743,36.36734408,3629,3621,3623,80,60
2015_06_18_19_F_05_1_001_sync,F05,al.b,coda,ae,18.00908332,18.26689895,1823,1818,1818,50,50
2015_06_18_19_F_05_1_001_sync,F05,kib.l,onset,ih,25.47749921,25.69641367,2568,2567,2571,10,-30
2015_06_18_19_F_05_1_001_sync,F05,tab.l,onset,ae,28.23348345,28.46841604,2828,2835,2831,-70,-30
2015_06_18_19_F_05_1_001_sync,F05,til.b,coda,ih,30.5284869,30.72833216,3065,3063,3062,20,30
2015_06_18_19_F_05_1_001_sync,F05,il.b,coda,ih,35.29080877,35.52650413,3543,3540,3547,30,-40
2015_06_18_19_F_05_1_001_sync,F05,tal.b,coda,ae,38.09366862,38.33088951,3832,3828,3823,40,90
2015_06_18_19_F_05_1_001_sync,F05,til.b,coda,ih,41.03035894,41.25079894,4116,4109,4118,70,-20
2015_06_18_19_F_05_1_001_sync,F05,tab.l,onset,ae,43.59322864,43.82511015,4382,4379,4381,30,10
2015_06_18_19_F_05_1_001_sync,F05,tib.l,onset,ih,51.10557417,51.35576212,5131,5134,5126,-30,50
2015_06_18_19_F_05_1_001_sync,F05,cal.b,onset,ae,55.97516464,56.29629003,5624,5621,5613,30,110
2015_06_18_19_F_05_1_002_sync,F05,cab.l,onset,ae,10.09570394,10.32758546,1026,1026,1029,0,-30
2015_06_18_19_F_05_1_002_sync,F05,kil.b,coda,ih,12.46174439,12.7104068,1263,1256,1261,70,20
2015_06_18_19_F_05_1_002_sync,F05,kib.l,onset,ih,15.10893539,15.3743787,1531,1529,1532,20,-10
2015_06_18_19_F_05_1_002_sync,F05,cal.b,coda,ae,22.18733634,22.45277965,2242,2237,2230,50,120
2015_06_18_19_F_05_1_002_sync,F05,tab.l,onset,ae,24.85893584,25.11064933,2490,2502,2495,-120,-50
2015_06_18_19_F_05_1_002_sync,F05,kil.b,coda,ih,27.16912436,27.38727605,2729,2727,2727,20,20
2015_06_18_19_F_05_1_002_sync,F05,kib.l,onset,ih,29.69108045,29.93211518,2985,2989,2986,-40,-10
2015_06_18_19_F_05_1_002_sync,F05,al.b,coda,ae,39.19798425,39.48482659,3950,3943,3942,70,80
2015_06_18_19_F_05_1_002_sync,F05,il.b,coda,ih,41.51509378,41.82782872,4174,4171,4174,30,0
2015_06_18_19_F_05_1_002_sync,F05,tal.b,coda,ae,46.63792354,46.87438167,4687,4684,4678,30,90
2015_06_18_19_F_05_1_003_sync,F05,tal.b,coda,ae,6.415426752,6.633578441,657,643,648,140,90
2015_06_18_19_F_05_1_003_sync,F05,kib.l,onset,ih,19.40243667,19.64347141,1960,1958,1959,20,10
2015_06_18_19_F_05_1_003_sync,F05,cal.b,coda,ae,24.13861306,24.41320959,2437,2433,2430,40,70
2015_06_18_19_F_05_1_003_sync,F05,il.b,coda,ih,28.78118037,29.0725578,2895,2892,2892,30,30
2015_06_18_19_F_05_1_003_sync,F05,tib.l,onset,ih,31.42379463,31.6999167,3165,3165,3167,0,-20
2015_06_18_19_F_05_1_003_sync,F05,al.b,coda,ae,33.79944004,34.08929194,3407,3401,3394,60,130
2015_06_18_19_F_05_1_003_sync,F05,tab.l,onset,ae,36.19034074,36.47103942,3626,3635,3636,-90,-100
2015_06_18_19_F_05_1_003_sync,F05,til.b,coda,ih,38.66071036,38.90021955,3880,3880,3878,0,20
2015_06_18_19_F_05_1_004_sync,F05,kib.l,onset,ih,4.305672169,4.536028148,449,449,446,0,30
2015_06_18_19_F_05_1_004_sync,F05,cal.b,coda,ae,15.4508336,15.73000674,1572,1566,1558,60,140
2015_06_18_19_F_05_1_004_sync,F05,kil.b,coda,ih,17.73051119,17.97459699,1793,1782,1788,110,50
2015_06_18_19_F_05_1_004_sync,F05,tib.l,onset,ih,20.17494667,20.44344106,2023,2033,2029,-100,-60
2015_06_18_19_F_05_1_004_sync,F05,il.b,coda,ih,24.87992014,25.14078684,2507,2500,2512,70,-50
2015_06_18_19_F_05_1_004_sync,F05,al.b,coda,ae,29.61096867,29.89319288,2967,2966,2974,10,-70
2015_06_18_19_F_05_1_004_sync,F05,tal.b,coda,ae,32.0284959,32.27410724,3226,3223,3215,30,110
2015_06_18_19_F_05_1_004_sync,F05,cab.l,onset,ae,41.37992137,41.62553272,4160,4156,4155,40,50
2015_06_18_19_F_05_1_004_sync,F05,tab.l,onset,ae,43.89286517,44.16593616,4413,4410,4407,30,60
2015_06_18_19_F_05_1_005_sync,F05,il.b,coda,ih,5.329186899,5.560305646,552,544,547,80,50
2015_06_18_19_F_05_1_005_sync,F05,tab.l,onset,ae,10.15308198,10.3849635,1035,1034,1033,10,20
2015_06_18_19_F_05_1_005_sync,F05,til.b,coda,ih,12.48310251,12.69820312,1260,1267,1257,-70,30
2015_06_18_19_F_05_1_005_sync,F05,kil.b,coda,ih,15.01421188,15.28118073,1514,1509,1520,50,-60
2015_06_18_19_F_05_1_005_sync,F05,cab.l,onset,ae,21.9206506,22.22728339,2213,2216,2217,-30,-40
2015_06_18_19_F_05_1_005_sync,F05,tal.b,coda,ae,24.24983774,24.50612784,2451,2443,2442,80,90
2015_06_18_19_F_05_1_005_sync,F05,tib.l,onset,ih,30.93202253,31.17305727,3114,3112,3102,20,120
2015_06_18_19_F_05_1_005_sync,F05,al.b,coda,ae,33.83743966,34.11203619,3413,3405,3399,80,140
2015_06_18_19_F_05_1_005_sync,F05,kib.l,onset,ih,36.16676776,36.45967073,3637,3642,3641,-50,-40
2015_06_18_19_F_05_1_005_sync,F05,cal.b,coda,ae,42.96475235,43.20578709,4324,4315,4307,90,170
2015_06_18_19_F_05_1_006_sync,F05,al.b,coda,ae,7.206615901,7.491891186,747,740,743,70,40
2015_06_18_19_F_05_1_006_sync,F05,tib.l,onset,ih,9.548007076,9.761582156,972,973,976,-10,-40
2015_06_18_19_F_05_1_006_sync,F05,tal.b,coda,ae,11.63546709,11.90853809,1189,1181,1180,80,90
2015_06_18_19_F_05_1_006_sync,F05,cab.l,onset,ae,15.90775175,16.17929721,1612,1612,1612,0,0
2015_06_18_19_F_05_1_006_sync,F05,il.b,coda,ih,20.19667633,20.44991535,2036,2032,2038,40,-20
2015_06_18_19_F_05_1_006_sync,F05,cal.b,coda,ae,24.86420334,25.13117219,2510,2512,2510,-20,0
2015_06_18_19_F_05_1_006_sync,F05,kib.l,onset,ih,27.3010111,27.55425012,2750,2750,2750,0,0
2015_06_18_19_F_05_1_006_sync,F05,kil.b,coda,ih,32.07394118,32.31192484,3227,3215,3223,120,40
2015_06_18_19_F_05_1_006_sync,F05,tab.l,onset,ae,34.56927063,34.83318841,3479,3479,3480,0,-10
2015_06_18_19_F_05_1_006_sync,F05,til.b,coda,ih,39.30642108,39.49558758,3945,3945,3943,0,20
2015_06_18_19_F_05_1_007_sync,F05,il.b,coda,ih,5.518975317,5.750856832,572,563,569,90,30
2015_06_18_19_F_05_1_007_sync,F05,al.b,coda,ae,13.7659255,14.05425186,1400,1398,1399,20,10
2015_06_18_19_F_05_1_007_sync,F05,kib.l,onset,ih,15.91607372,16.17541489,1611,1606,1609,50,20
2015_06_18_19_F_05_1_007_sync,F05,tab.l,onset,ae,20.43271425,20.70578524,2049,2059,2058,-100,-90
